filename,words
word_0_aug_0.png,𑂪𑂱𑂨𑂵
word_0_aug_1.png,𑂪𑂱𑂨𑂵
word_0_aug_2.png,𑂪𑂱𑂨𑂵
word_0_aug_3.png,𑂪𑂱𑂨𑂵
word_0_aug_4.png,𑂪𑂱𑂨𑂵
word_0_aug_5.png,𑂪𑂱𑂨𑂵
word_0_aug_6.png,𑂪𑂱𑂨𑂵
word_0_aug_7.png,𑂪𑂱𑂨𑂵
word_0_aug_8.png,𑂪𑂱𑂨𑂵
word_0_aug_9.png,𑂪𑂱𑂨𑂵
word_0_aug_10.png,𑂪𑂱𑂨𑂵
word_0_aug_11.png,𑂪𑂱𑂨𑂵
word_0_aug_12.png,𑂪𑂱𑂨𑂵
word_0_aug_13.png,𑂪𑂱𑂨𑂵
word_0_aug_14.png,𑂪𑂱𑂨𑂵
word_0_aug_15.png,𑂪𑂱𑂨𑂵 𑂥𑂰𑂩
word_0_aug_16.png,𑂪𑂱𑂨𑂵 𑂣𑂹𑂩𑂨𑂷𑂏
word_0_aug_17.png,𑂪𑂱𑂨𑂵 𑂣𑂹𑂩𑂨𑂷𑂏
word_0_aug_18.png,𑂪𑂱𑂨𑂵 𑂣𑂹𑂩𑂨𑂷𑂏
word_0_aug_19.png,𑂪𑂱𑂨𑂵 𑂮𑂱𑂁𑂯
word_1_aug_0.png,𑂨𑂯𑂰𑂀
word_1_aug_1.png,𑂨𑂯𑂰𑂀
word_1_aug_2.png,𑂨𑂯𑂰𑂀
word_1_aug_3.png,𑂨𑂯𑂰𑂀
word_1_aug_4.png,𑂨𑂯𑂰𑂀
word_1_aug_5.png,𑂨𑂯𑂰𑂀
word_1_aug_6.png,𑂨𑂯𑂰𑂀
word_1_aug_7.png,𑂨𑂯𑂰𑂀
word_1_aug_8.png,𑂨𑂯𑂰𑂀
word_1_aug_9.png,𑂨𑂯𑂰𑂀
word_1_aug_10.png,𑂨𑂯𑂰𑂀
word_1_aug_11.png,𑂨𑂯𑂰𑂀
word_1_aug_12.png,𑂨𑂯𑂰𑂀
word_1_aug_13.png,𑂨𑂯𑂰𑂀
word_1_aug_14.png,𑂨𑂯𑂰𑂀
word_1_aug_15.png,𑂨𑂯𑂰𑂀 𑂪𑂱𑂨𑂵
word_1_aug_16.png,𑂨𑂯𑂰𑂀 𑂋𑂩
word_1_aug_17.png,𑂨𑂯𑂰𑂀 𑂣𑂹𑂩𑂨𑂷𑂏
word_1_aug_18.png,𑂨𑂯𑂰𑂀 𑂥𑂰𑂩
word_1_aug_19.png,𑂨𑂯𑂰𑂀 𑂥𑂰𑂩
word_2_aug_0.png,𑂮𑂱𑂁𑂯
word_2_aug_1.png,𑂮𑂱𑂁𑂯
word_2_aug_2.png,𑂮𑂱𑂁𑂯
word_2_aug_3.png,𑂮𑂱𑂁𑂯
word_2_aug_4.png,𑂮𑂱𑂁𑂯
word_2_aug_5.png,𑂮𑂱𑂁𑂯
word_2_aug_6.png,𑂮𑂱𑂁𑂯
word_2_aug_7.png,𑂮𑂱𑂁𑂯
word_2_aug_8.png,𑂮𑂱𑂁𑂯
word_2_aug_9.png,𑂮𑂱𑂁𑂯
word_2_aug_10.png,𑂮𑂱𑂁𑂯
word_2_aug_11.png,𑂮𑂱𑂁𑂯
word_2_aug_12.png,𑂮𑂱𑂁𑂯
word_2_aug_13.png,𑂮𑂱𑂁𑂯
word_2_aug_14.png,𑂮𑂱𑂁𑂯
word_2_aug_15.png,𑂮𑂱𑂁𑂯 𑂔𑂺𑂱𑂪𑂵
word_2_aug_16.png,𑂮𑂱𑂁𑂯 𑂮𑂱𑂁𑂯
word_2_aug_17.png,𑂮𑂱𑂁𑂯 𑂪𑂱𑂨𑂵
word_2_aug_18.png,𑂮𑂱𑂁𑂯 𑂔𑂺𑂱𑂪𑂵
word_2_aug_19.png,𑂮𑂱𑂁𑂯 𑂮𑂱𑂁𑂯
word_3_aug_0.png,𑂥𑂰𑂩
word_3_aug_1.png,𑂥𑂰𑂩
word_3_aug_2.png,𑂥𑂰𑂩
word_3_aug_3.png,𑂥𑂰𑂩
word_3_aug_4.png,𑂥𑂰𑂩
word_3_aug_5.png,𑂥𑂰𑂩
word_3_aug_6.png,𑂥𑂰𑂩
word_3_aug_7.png,𑂥𑂰𑂩
word_3_aug_8.png,𑂥𑂰𑂩
word_3_aug_9.png,𑂥𑂰𑂩
word_3_aug_10.png,𑂥𑂰𑂩
word_3_aug_11.png,𑂥𑂰𑂩
word_3_aug_12.png,𑂥𑂰𑂩
word_3_aug_13.png,𑂥𑂰𑂩
word_3_aug_14.png,𑂥𑂰𑂩
word_3_aug_15.png,𑂥𑂰𑂩 𑂥𑂰𑂩
word_3_aug_16.png,𑂥𑂰𑂩 𑂪𑂱𑂨𑂵
word_3_aug_17.png,𑂥𑂰𑂩 𑂔𑂺𑂱𑂪𑂵
word_3_aug_18.png,𑂥𑂰𑂩 𑂣𑂹𑂩𑂨𑂷𑂏
word_3_aug_19.png,𑂥𑂰𑂩 𑂥𑂰𑂩
word_4_aug_0.png,𑂔𑂺𑂱𑂪𑂵
word_4_aug_1.png,𑂔𑂺𑂱𑂪𑂵
